timestamp,open,high,low,close,volume
2025-09-07T22:00:00+00:00,23676.50,23688.00,23654.25,23657.75,2537
2025-09-07T22:05:00+00:00,23657.75,23664.50,23650.50,23655.75,1988
2025-09-07T22:10:00+00:00,23655.00,23669.25,23654.50,23668.00,1530
2025-09-07T22:15:00+00:00,23668.50,23684.00,23666.75,23677.25,1966
2025-09-07T22:20:00+00:00,23677.50,23681.25,23674.00,23681.00,1021
2025-09-07T22:25:00+00:00,23680.75,23699.50,23679.75,23697.00,3600
2025-09-07T22:30:00+00:00,23697.25,23716.75,23696.50,23716.50,4106
2025-09-07T22:35:00+00:00,23716.50,23717.25,23706.00,23715.75,2321
2025-09-07T22:40:00+00:00,23715.75,23729.50,23714.25,23729.25,3135
2025-09-07T22:45:00+00:00,23728.75,23749.00,23728.75,23734.00,5259
2025-09-07T22:50:00+00:00,23733.50,23738.50,23729.00,23733.25,2067
2025-09-07T22:55:00+00:00,23733.50,23742.25,23732.75,23740.50,1402
2025-09-07T23:00:00+00:00,23740.75,23747.25,23740.25,23744.50,1672
2025-09-07T23:05:00+00:00,23744.75,23753.50,23744.50,23751.00,2134
2025-09-07T23:10:00+00:00,23750.75,23754.75,23746.00,23751.00,1589
2025-09-07T23:15:00+00:00,23751.75,23753.00,23742.75,23746.25,1604
2025-09-07T23:20:00+00:00,23746.25,23758.25,23744.75,23757.00,1397
2025-09-07T23:25:00+00:00,23757.25,23782.25,23756.00,23769.25,5384
2025-09-07T23:30:00+00:00,23769.00,23784.50,23768.50,23776.00,2358
2025-09-07T23:35:00+00:00,23776.00,23783.50,23774.00,23777.00,1751
2025-09-07T23:40:00+00:00,23777.50,23781.25,23769.50,23774.25,1646
2025-09-07T23:45:00+00:00,23774.25,23778.25,23768.50,23774.25,2035
2025-09-07T23:50:00+00:00,23774.50,23779.75,23769.00,23778.75,1411
2025-09-07T23:55:00+00:00,23778.50,23781.00,23775.00,23777.75,1274
